product_id;name;brand;category;price;size_value;size_unit;ingredients;key_ingredients;source;date_collected
P193;elseve hyaluron moisture conditioner;L'Oreal Paris;Conditioner;87000;265;ml;ingredients bahan-bahan: aqua water, cetearyl alcohol, dimethicone, glycerin, behentrimonium chloride, ci 17200 red 33, ci 42090 blue 1, lactic acid, sodium laureth sulfate, sodium hydroxide, sodium hyaluronate, phenoxyethanol, limonene, amodimethicone, isopropyl alcohol, cetrimonium chloride, parfum fragrance ;"[""glycerin"", ""panthenol"", ""zinc pyrithione"", ""salicylic acid"", ""niacinamide"", ""menthol"", ""centella asiatica extract""]";https://www.sociolla.com/conditioner/71767-elseve-hyaluron-moisture-conditioner;03/02/2026
P194;premium cool & repair conditioner;Tsubaki;Conditioner;149900;450;ml;aqua, isopentyldiol, behentrimonium chloride, glycerin, stearyl alcohol, dimethicone, behenyl alcohol, cetyl alcohol, isopropyl alcohol, fragrance, dipropylene glycol, menthol, isopropyl myristate, peg-2 laurate, sodium benzoate, phenoxyethanol, amodimethicone, sodium methyltaurate, salicylic acid, hydroxyethyl urea, aminopropyl dimethicone, ppg-2-deceth-12, steartrimonium chloride, c13-16 isoparaffin, lactic acid, polysilicone-13, disodium edta, squalane, camellia japonica seed oil, c10-13 isoparaffin, ammonium lactate, butylene glycol, sodium dilauramidoglutamide lysine, ethylhexyl palmitate, bis-ethylhexyloxyphenol methoxyphenyl triazine, cetrimonium chloride, phytosteryl octyldodecyl ;"[""butyrospermum parkii (shea butter)""]";https://www.sociolla.com/conditioner/90638-premium-cool-and-repair-conditioner;03/02/2026
P195;texture experience conditioner vanilla milk;Makarizo Professional;Conditioner;88800;250; ml;aqua water, cetearyl alcohol, behentrimonium chloride, glyceryl stearates, polyquaternium-47, cyclotetrasiloxane, amodimethicone, ceteareth-20, dimethicone, fragrance, parfum, aroma, ceteareth-12, ethylhexyl palmitate, hydroxyethylcellulose, isopropyl alcohol, cyclopentasiloxane, guar hydroxypropyltrimonium chloride, ci 19140, acid yellow 23, yellow 5 lake, yellow no4, dmdm hydantoin, ci 14720, red 3, sodium sulfate, theobroma cacao extract, steartrimonium chloride, quaternium-10, trideceth-12, ci 42090, blue no 1 blue no 4, butylene glycol, iodopropynyl butylcarbamate, magnesium nitrate, cmit, methylchloroisothiazolinone, magnesium chloride, mit, methylisothiazolinone;"[""glycerin"", ""dimethicone"", ""menthol"", ""amodimethicone"", ""salicylic acid"", ""dimethicone"", ""lactic acid""]";https://www.sociolla.com/conditioner/28176-texture-experience-conditioner-vanilla-milk;03/02/2026
P197;hold my strands! hair fall treatment conditioner;Wonderlux;Conditioner;69000;160; ml;aqua, cetearyl alcohol, glycerin, mineral oil, fragrance components and finished fragrances, stearamidopropyl dimethylamine, dimethiconol, behentrimonium chloride, dimethicone, propanediol, ceteareth-22, phenoxyethanol, sodium pca, cetrimonium chloride, hydrolyzed jojoba esters, citric acid, dipropylene glycol, amodimethicone, chlorphenesin, bisamino peg ppg-41 3 aminoethyl pg-propyl dimethicone, laureth-4, laureth-5, laureth-23, peg-55 stearate, disodium edta, bht, xanthan gum, caprylyl glycol, tetrasodium disuccinoyl cystine, hydroxypropylgluconamide, hydroxypropylammonium gluconate, ci 14720, ci 18965, tartaric acid, arginine, glycine, sodium benzoa;"[""glycerin"", ""dimethicone"", ""amodimethicone"", ""lactic acid"", ""glycerin"", ""arginine"", ""argania spinosa kernel oil"", ""olea europaea oil"", ""ricinus communis seed oil""]";https://www.sociolla.com/conditioner/92386-hold-my-strands-hair-fall-treatment-conditioner;03/02/2026
P199;out of my head conditioner;Lavojoy;Conditioner;71900;300;ml;water, cetearyl alcohol, glycerin, dimethicone, behentrimonium chloride, bis-aminopropyl dimethicone, phenoxyethanol, aroma, isopropyl alcohol, hydroxyethylcellulose, chlorphenesin, dimethiconol, acrylamidopropyltrimonium chloride acrylamide copolymer, disodium edta, citric acid, squalane, polysorbate 60, disodium phosphate, keratin, hydrolyzed keratin, oxidized keratin, salicylic acid, sodium phosphate, yeast extract, phragmites communis extract, zea mays silk extract, oryza sativa extract, aloe barbadensis leaf extract, 1, 2-hexanediol, butylene glycol, malva sylvestris flower leaf stem extract, ethylhexylglycerin;"[""panthenol"", ""arginine"", ""zinc pca"", ""tocopherol"", ""dimethicone"", ""amodimethicone""]";https://www.sociolla.com/conditioner/82403-out-of-my-head-conditioner;03/02/2026
P202;hello bubble all star strengthening conditioner;Mise En Scène;Conditioner;159000;500;ml;[ingredients] water aqua eau, glycerin, dipropylene glycol, dimethicone, cetyl alcohol, stearyl alcohol, behentrimonium chloride, fragrance parfum, caprylyl glycol, disodium edta, ethylhexylglycerin, hexyl cinnamal, benzyl salicylate, butylene glycol, punica granatum fruit extract, biotin, tocopherol, camellia sinensis leaf extract;"[""dimethicone"", ""glycerin"", ""amodimethicone"", ""panthenol"", ""hydrolyzed collagen"", ""arginine""]";https://www.sociolla.com/conditioner/83540-hello-bubble-all-star-strengthening-conditioner;03/02/2026
P203;tea tree calming scalp treatment;la'dor;Conditioner;230000;330;ml;aqua, cetearyl alcohol, propylene glycol, dimethicone, steartrimonium chloride, amodimethicone, glycerin, glyceryl stearate se, mineral oil, menthol, peg-45m, hydroxyacetophenone, olea europaea fruit oil, sodium pca, fragrance, trideceth-12, betaine, ethylhexyl methoxycinnamate, laureth-20, laureth-3, limonene, linalool, cetrimonium chloride, disodium edta, silica, silica, citric acid, phenoxyethanol, 1, 2-hexanediol, dipropylene glycol, benzyl benzoate, citronellol, pentylene glycol, geraniol, hexyl cinnamal, melaleuca alternifolia leaf extract, piroctone olamine, centella asiatica extract, ci 19140, citrus unshiu peel extract, bht, origanum vulgare leaf extract, melissa officinalis extra;"[""dimethicone"", ""glycerin"", ""amodimethicone"", ""panthenol"", ""hydrolyzed collagen"", ""arginine""]";https://www.sociolla.com/conditioner/94776-lador-tea-tree-calming-scalp-treatment;03/02/2026
P204;ciara hair conditioner repair treatment with kerascalp;Ciara;Conditioner;79000;275; ml;hero ingredient : horse chesnut seed extract, protein, multivitamin;"[""dimethicone""]";https://www.sociolla.com/conditioner/89028-ciara-hair-conditioner-repair-treatment-with-kerascalp;03/02/2026
P206;rosemary tea tree energy conditioner;Beamarry New York;Conditioner;227184;380;ml;aqua, cetearyl alcohol, ethylhexyl palmitate, steartrimonium chloride, dimethicone glyceryl stearate, hydroxyethyl cellulose, dmdm hydantoin, parfum, glycerin, propylene glycol phenoxyethanol, kératin, panthenol, macadamia ternifolia seed oil argania spinosa kernel oil, hydrolyzed keratin, oxidize d keratin, ci 19140, sericin, ci 75470;"[""dimethicone"", ""glycerin"", ""amodimethicone"", ""panthenol"", ""hydrolyzed collagen"", ""arginine""]";https://www.sociolla.com/conditioner/85222-rosemary-tea-tree-energy-conditioner;03/02/2026
P207;serum original conditioner;Mise En Scène;Conditioner;149000;530;mL;ingredients : water aqua eau, glycerin, dipropylene glycol, cetyl alcohol, stearyl alcohol, dimethicone, behentrimonium chloride, isopropyl alcohol, fragrance parfum, hydroxyethylcellulose, ethylhexylglycerin, disodium edta, yellow 5, yellow 6, tocopherol, simmondsia chinensis seed oil, olea europaea fruit oil, prunus armeniaca kernel oil, argania spinosa kernel oil, camellia japonica seed oil, cocos nucifera oil, red 33, blue 1, coco-caprylate caprate, sclerocarya birrea seed oil, glycolipids;"[""caffeine"", ""baicapil"", ""biotin""]";https://www.sociolla.com/conditioner/83503-serum-original-conditioner;03/02/2026
