product_id,name,category,source,date_collected,brand_normalized,size_value,size_Units,price_Normalized,ingredients_normalized,key_ingredients,category_trimmed,,category_master,category_fix
P021,Fino Premium Touch Permeation Essence Hair Mask,Hair Mask,https://www.tokopedia.com/pure-luxury-hair/hair-mask-premium-touch-hair-care-set-conditioner-hair-mask-1733831961628214682?extParam=ivf%3Dfalse%26keyword%3Dhair+care+hair+mask%26search_id%3D20260107112831CD00692C3BFE5939DSZU%26src%3Dsearch&t_id=1767785334549&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,1/7/2026,Shiseido Fino,230,g,125000,"water, sorbitol, dimethicone, hydrogenated rapeseed oil alcohol, isopentyldiol, behentrimonium chloride, aminopropyldimethicone, alkyl (c12, 14) oxyhydroxypropylarginine hcl, stearyldihydroxypropyldimonium oligosaccharide, glutamate, stearyltrimonium chloride, trehalose, squalane, peg-90m, pca, dilauroyl glutamate (phytosteryl / octyldodecyl), polyquaternium-64, royal jelly extract, isopropanol, cetanol, octyldodecanol, ethanol, pg, bg, silica, bht, tocopherol, phenoxyethanol, sodium benzoate, fragrance, yellow 5","arginine, tocopherol",Hair Mask,,,Hair Mask
P022, CBD Professional Keratin Pro Daily,Hair Mask,https://www.tokopedia.com/cbdprofessional/bbd-cbd-professional-keratin-pro-daily-use-hair-mask-500gr-haircare-treatment-perawatan-setelah-shampoo-conditioner-vitamin-rambut-kering-kusut-kusam-menjadi-halus-berkilau-membersihkan-melembutkan-rambut-seperti-smoothing-1729420095615175062?extParam=ivf%3Dfalse%26keyword%3Dhair+care+hair+mask%26search_id%3D20260107112831CD00692C3BFE5939DSZU%26src%3Dsearch%26whid%3D12613736&t_id=1767785334549&t_st=5&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result,1/7/2026,Cbd,500,gr,105000,"aqua, cyclopentasiloxane, behentrimonium chloride, hydroxypropyl starch phosphate, cetearyl alcohol, perfume, cetyl alcohol, glyceryl stearate, cetrimonium chloride, dimethiconol, isopropanol, peg-100 stearate, phenoxyethanol, panthenol, sodium pca, sorbitan caprylate, bht, disodium edta, hydrolyzed keratin, benzotriazolyl dodecyl p-cresol, sodium metabisulfite, citric acid","hydrolyzed keratin, keratin, panthenol",Hair Mask,,,Hair Mask
P023,MAKARIZO Hair Recovery ,Hair Vitamin,https://www.watsons.co.id/id/makarizo-hair-recovery-pump-50ml/p/BP_45180,1/7/2026,Makarizo,50,ml,69700,"cyclopentasiloxane, cyclotetrasiloxane, phenyl trimethicone, dimethiconol, fragrance, tocopheryl acetate, hydrolyzed silk, pg-propyl methylsilanediol crosspolymer, hydrogenated soybean oil, retinyl palmitate, ascorbyl palmitate","hydrolyzed silk, retinyl palmitate, tocopheryl acetate",Hair Vitamin,,,Hair Vitamin
P024,Hair Fall Control Shampoo ,Shampoo,https://www.watsons.co.id/id/makarizo-hair-recovery-pump-50ml/p/BP_45180,1/7/2026,Lab On Hair,300,ml,179200,"water, sodium laureth sulfate, cocamide mea, acrylates copolymer, cocamidopropyl hydroxysultaine, sodium chloride, fragrance, sodium cocoyl glycinate, dimethicone, glycerin, peg-150 distearate, behentrimonium chloride, triethanolamine, zingiber officinale (ginger) root, polyquaternium-7, methylparaben, allantoin, isopropyl alcohol, disodium edta, propylene glycol, magnesium nitrate, undecylenic acid, arginine, salicylic acid, zingiber officinale (ginger) root extract, 1,2-hexanediol, hydroxyacetophenone, propanediol, ci 19140, methylchloroisothiazolinone, magnesium chloride, methylisothiazolinone, panax ginseng root extract, ci 16255, hydrolyzed pea protein, larix europaea wood extract, glycine, sodium metabisulfite, camellia sinensis leaf extract, zinc chloride.","allantoin, arginine, camellia sinensis leaf extract, panax ginseng root extract, salicylic acid",Shampoo,,,Shampoo
P025,Tresemme Keratin Smooth Shine Serum with Marula Oil for Dry Hair - Smooth & Shiny,Serum Rambut,https://www.sociolla.com/shampoo/79013-hair-fall-control-shampoo,1/7/2026,Tresemme,97,ML,156900,"cyclopentasiloxane, cyclohexasiloxane, dimethiconol, phenyl trimethicone, sclerocarya birrea seed oil, hydrolyzed keratin, fragrance (parfum), aminopropyl dimethicone, dimethicone crosspolymer.","hydrolyzed keratin, keratin",Serum Rambut,,,Hair Serum
P026,Elseve Aminexil Serum,Serum Rambut,https://www.watsons.co.id/id/l-oreal-elseve-aminexil-serum-anti-hair-fall-serum-102ml/p/BP_59845,1/7/2026,Loreal,102,ml,125000,"aqua / water, alcohol denat, diaminopyrimidine oxide, tocopherol, sodium hyaluronate, sodium citrate, caffeine, safflower glucoside, peg-40 hydrogenated castor oil, arginine, aminomethyl propanol, ammonium polyacryloyldimethyl taurate, limonene, menthol, piroctone olamine, citric acid, coumarin, parfum / fragrance (f.i.l. z70018039/1)..","arginine, caffeine, diaminopyrimidine oxide, menthol, piroctone olamine, tocopherol",Serum Rambut,,,Hair Serum
P027,Wonderlux Hold My Strands! Hair Fall Treatment,Scalp Serum ,https://www.watsons.co.id/id/wonderlux-wonderlux-hold-my-strands-hair-fall-treatment-scalp-serum-75ml/p/BP_39916,1/7/2026,Wonderlux,75,ml,150000,"aqua, butylene glycol, tetrasodium, disuccinoyl cystine, propanediol, ammonium polyacryloyldimethyl taurate, hydroxypropylgluconamide, niacinamide, aloe barbadensis extract, oryza sativa bran water, hydroxypropylammonium gluconate, glycerin, ethanol, pathenol, chlorphenesin, phenoxyethanol, zingiber officinale extract, ppg-26-buteth-26, peg-40 hydrogenated castor oil, phyllanthus emblica fruit extract, bioflavonoids, glycine, apigenin, serine, glutamic acid, oleanolic acid, aspartic acid, leucine, biotinoyl tripeptide-1, alanine, lysine, arginine, tyrosine, phenylalanine, threonine, proline, valine, isoleucine, histidine.","arginine, biotin, niacinamide, oleanolic acid",Scalp Serum,,,Scalp Serum
P028,Hair Tonic,Hair Tonic ,https://www.watsons.co.id/id/nr-hair-tonic-200ml/p/BP_72452,1/7/2026,Nr,200,ml,81500,ethyl alcohol aqua fragrance peg40 hydrohenated castor oil triticum vulgare germ oil sodium salicylate propylene glycol dpanthenol linoleic acid retinyl palmitate ethoxydiglycol glucose citric acid chamomimilla recutita flower extract calcium pantothenate tussilago farfara leaf extract butylene glycol urtiva dioica extract serine pottassium sorbate caarmel inositol phenoxyethanol ci 47005 tartaric acid methylparaben ci 42090 biotin riboflavin butylparaben ethylparaben propylparaben isobutylparaben.,"biotin, panthenol, retinyl palmitate",Hair Tonic,,,Hair Tonic
P029,Ginseng Hair Tonic,Hair Tonic ,https://www.watsons.co.id/id/mylea-ginseng-hair-tonic-200-ml/p/BP_72455,1/7/2026,Mylea,200,ml,49900,"aqua, isopropyl alcohol, fragrance, peg-40 hydrogenated castor oil, propylene glycol, piroctone olamine, sodium salicylate, d-panthenol, citric acid, menthol, camphor, polysorbate 80, chamomilla recutita flower extract, glucose, linoleic acid, retinyl palmitate, alcohol, lactic acid, sodium benzoate, equisetum arvense extract, betula alba leaf extract, urtica dioica extract, phenoxyethanol, tocopheryl acetate, capric acid, potassium sorbate, ci 60730, caramel, ci 42090, methylparaben, tartaric acid, ethylparaben, propylparaben, butylparaben, bht.","lactic acid, menthol, panthenol, piroctone olamine, retinyl palmitate, tocopheryl acetate",Hair Tonic,,,Hair Tonic
P030,Cave Hair Tonic,Hair Tonic ,https://www.watsons.co.id/id/cave-cave-hair-tonic-150ml/p/BP_43416,1/7/2026,Cave,150,ml,150000,"aqua, alcohol denat, peg-40 hydrogenated castor oil, aleurites moluccana extract, fragrance (parfum) components and finished fragrances, panthenol, propylene glycol, menthol, capsicum annuum extract, cetyl pyridium chloride, ci 42090, biotin.","biotin, menthol, panthenol",Hair Tonic,,,Hair Tonic
P031,Heat&Sun Protection Detangle Spray,Heat Protection Spray,https://www.sociolla.com/shampoo/85377-heat-and-sun-protection-detangle-spray,1/9/2026,Beamarry New York,200,ml,167580,"aqua, trideceth-10 amodimethicone, dimethiconol, glycerin, cocodimonium hydrox/propyl hydrolyzed keratin, propylene glycol, panthenol, tea-dodecylbenzenesulfonate, peg-40 hydrogenated castor oil, cetrimonium chloride, ethyl lauroyl arginate hcl, sodium citrate, benzophenône 4, parfum ethylhexy glycerin, 12-hexane diol citric acid, argania spinosá kernel oil, cocos nucifera (coconut) oil macadamia ternifo lia seed oil, sodium hivaluronate vitex trifola fruit extract, keratin, endrolvzed keratin oxidized keratin.","hydrolyzed keratin, keratin, panthenol",Heat Protection Spray,,,Heat Protection
P032,Pantene Conditioner Miracles Collagen Repair for Damage Care,Conditioner,https://www.tokopedia.com/watsons-indonesia-official-store/pantene-conditioner-miracles-collagen-repair-for-damage-care-70ml?extParam=ivf%3Dfalse%26keyword%3Dconditioner%26search_id%3D202601091126430BB4AEC17105210F8KP8%26src%3Dsearch&t_id=1767957222016&t_st=4&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_resulty,1/9/2026,Pantene,70,ml,18000,"water, silicone quaternium-26, stearyl alcohol, cetyl alcohol, benzyl alcohol, disodium edta, polysorbate 20, hexyl cinnamal, panthenol, histidine, panthenyl ethyl ether, citric acid, collagen.",panthenol,Conditioner,,,Conditioner
P033,LOreal Total Repair 5 Hair Spa Mask,Hair Mask,https://www.watsons.co.id/id/l-oreal-l-oreal-total-repair-5-hair-spa-mask-200ml/p/BP_48665,1/9/2026,Loreal,200,ml,100400,"aqua/water, cetearyl alcohol, behentrimonium chloride, glycerin, cetyl esters, hydroxypropyltrimonium hydrolyzed wheat protein, dodocene, phenoxyethanol, arginine, chlorhexidine digluconate, poloxamen 407, limonene, linalool, benzyl salicylate, isopropyl myristate, 2-oleamido-1,3-octadecandediol, serine, bht, citric acid, butylphenyl methylpropional, lauryl peg/ppg-18/18 methicone, glutamic acid, hexyl cinnamal, glyceryl linoleate, glyceryl oleate, glyceryl linolenate, parfum/fragrance (f.i.l. c37037/1/.","arginine, hydrolyzed wheat protein",Hair Mask,,,Hair Mask
P034,Hair Mask Pro Keratin Hair Repair Tube ,Hair Mask,https://www.watsons.co.id/id/ellips-hair-mask-pro-keratin-hair-repair-tube-120g/p/BP_72506,1/9/2026,Ellips,120,g,58500,aqua cetearyl alcohol dimethicone dimethiconol cetyl ester amodimethicone cyclotetrasiloxane trideceth12 cetrimonium chloride cyclopentasiloxane sodium benzoate dimethyl palmitamine steartrimonium chloride isopropyl alcohol potato starch modified fragrance phenoxyethanol methylparaben ethylparaben butylparaben propylparaben lactic acid panthenol simmondsia chinensis seed oil tocopheryl acetate soybean glycine soja oil retinyl palmitate ascorbyl palmitate.,"lactic acid, panthenol, retinyl palmitate, tocopheryl acetate",Hair Mask,,,Hair Mask
