product_id,name,brand,category,size,price,ingredients,source,date_collected
P217,Extra Vital Treatment,MOIST DIANE,Conditioner,450 ml,Rp136.000 Rp115.600,"AQUA, CETEARYL ALCOHOL, DIMETHICONE, STEARTRIMONIUM CHLORIDE, PARFUM,PHENOXYETHANOL, BIS-BEHENYL/ISOSTERYL/PHYTOSTERYL DIMER DILINOLEYL DIME DILINOLEATE, HYDROGENATED CASTOR OIL ISOSTEARATE, ETHYLHEXYL PALMITATE, RICINUS COMMUNIS SEED OIL,ISOPROPYL ALCOHOL, CETRIMONIUM CHLORIDE, HYDROXYETHYLCELLULOSE, DIMETHICONOL, GLUCOSE, DICOCODIMONIUM CHLORIDE, GLYCERYL TRI-HYDROGENATED ROSINATE [C] HYDROGENATED GLYCERYL DEHYDROABIETATE/TETRAHYDROABIETATE,DISODIUM EDTA ,CARAMEL, HYDROLYZED SILK PG-PROPYL METHYLSILANEDIOL, ARGANIA SPINOSA CALLUS CULTURE EXTRACT, BUTYLENE GLYCOL, ALCOHOL, PISUM SATIVUM (PEA) SPROUT EXTRACT, HYDROXYPROPYLTRIMONIUM HYDROLYZED KERATIN, ISOMALT, PANA..",https://www.sociolla.com/conditioner/72040-extra-vital-treatment,3/2/2026
P218,JMELLA Disney In France Sparkling Rosé No. 05 Hair Treatment,JMELLA,Conditioner,500ml,Rp154.000 Rp92.400,"Aqua, Stearyl Alcohol, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Parfum, Cyclopentasiloxane, Behentrimonium Chloride (Hair Conditioning), Dimethicone, Glycerin, Steartrimonium Chloride (Hair Conditioning), Phenoxyethanol, Isopropyl Alcohol, Chlorphenesin, Propylene Glycol, Amodimethicone, Cetrimonium Chloride (Emulsifying), Disodium EDTA, Trideceth-12, Arachidyl Alcohol, Butylene Glycol, Myristyl Alcohol, Cyclotetrasiloxane, Trehalose, Panthenol, Lauryl Alcohol, Dipropylene Glycol, 1,2-Hexanediol, Citric Acid, Fragaria Vesca Leaf Extract, Hydrolyzed Collagen, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Proline, Threonine..",https://www.sociolla.com/conditioner/85296-jmella-disney-in-france-sparkling-rose-no-05-hair-treatment,3/2/2026
P219,KUNDAL Barley Yeast Scalp Care Treatment,KUNDAL,Conditioner,200ml,Rp169.000 Rp126.750,"Water, Stearyl Alcohol, Dipropylene Glycol, Cetyl Alcohol, Behentrimonium Chloride, Caprylic/Capric Triglyceride, Hydrogenated Coconut Oil, Sorbitol, Stearamidopropyl Dimethylamine, Saccharomyces Cerevisiae Extract, Butylene Glycol, Menthol, Alcohol, Caprylyl Glycol, Aspartic Acid, Ethylhexylglycerin, Polyglyceryl-4 Caprate, Propanediol, Glycine Soja (Soybean) Germ Extract, Polyglyceryl-10 Isostearate, Polyglyceryl-6 Caprylate, 1,2-Hexanediol, Polyglyceryl-10 Oleate, Maltodextrin, Moringa Oleifera Seed Extract, Tocopherol, Glycerin, Biotin, Camellia Sinensis Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Galactomyces Ferment Filtrate, Hydroxypropyltrimonium Hyaluronate, Plukenetia V..",https://www.sociolla.com/conditioner/83877-kundal-barley-yeast-scalp-care-treatment,3/2/2026
P220,Serum Styling Conditioner,MISE EN SCÈNE,Conditioner,530mL,Rp149.000 Rp134.100,"INGREDIENTS : WATER / AQUA / EAU, GLYCERIN, DIPROPYLENE GLYCOL, CETYL ALCOHOL, STEARYL ALCOHOL, CETYL ETHYLHEXANOATE, BEHENTRIMONIUM CHLORIDE, DIMETHICONE, ISOPROPYL ALCOHOL, FRAGRANCE / PARFUM, HYDROXYETHYLCELLULOSE, DISODIUM EDTA, LINALOOL, BENZYL BENZOATE, ARGANIA SPINOSA KERNEL OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, CAMELLIA JAPONICA SEED OIL, COCOS NUCIFERA (COCONUT) OIL, COCO-CAPRYLATE/CAPRATE, SCLEROCARYA BIRREA SEED OIL, GLYCOLIPIDS",https://www.sociolla.com/conditioner/83505-serum-styling-conditioner,3/2/2026
P221,Nutra-Therapy Conditioner 250ml,SHRD,Conditioner,250ml,Rp275.000 Rp265.000,,https://www.sociolla.com/conditioner/76285-nutra-therapy-conditioner-250ml,3/2/2026
P222,Orange Flower Shining Color Conditioner (For Colored Hair),DANCOLY,Conditioner,400 ml,Rp239.000 Rp212.710,"Aqua/Water, PEG-4 Sorbitan Stearate, Glyceryl Stearates, Polyoxyethylene Cetyl-Stearyl Ether, Dimethicone/Silsesquioxane Copolymer, Cetrimonium Chloride, Hyaluronic Acid, Hydroxypropyl Guar, Simmondsia Chinensis (Jojoba) Oil PEG-8 Esters, Vitis Vinifera (Grape) Seed Oil, Citrus Aurantium Amara Flower Extract, Pelargonium Graveolens (Geranium) Extract, Rosa Rugosa Flower Extract, Phenoxyethanol",https://www.sociolla.com/conditioner/9713-orange-flower-shining-color-conditioner-for-colored-hair,3/2/2026
P223,Premium Moist & Repair Treatment Twinpack (NEW),TSUBAKI,Conditioner,Quantity,Rp263.800 Rp216.316,"AQUA, GLYCERIN, DIMETHICONE, ISOPENTYLDIOL, HYDROGENATED RAPESEED ALCOHOL, BEHENTRIMONIUM CHLORIDE, STEARYL ALCOHOL, SORBITOL, ISOPROPYL ALCOHOL, CETYL ALCOHOL, FRAGRANCE, AMINOPROPYL DIMETHICONE, PHENOXYETHANOL, HYDROXYETHYL UREA, HYDROXYPROPYL ARGININE LAURYL/MYRISTYL ETHER HCL, SODIUM BENZOATE, OCTYLDODECANOL, STEARTRIMONIUM CHLORIDE, ALCOHOL, LACTIC ACID, CITRIC ACID, AMMONIUM LACTATE, LAURTRIMONIUM CHLORIDE, SQUALANE, CAMELLIA JAPONICA SEED OIL, BUTYLENE GLYCOL, SODIUM DILAURAMIDOGLUTAMIDE LYSINE, DIPROPYLENE GLYCOL, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, PHYTOSTERYL MACADAMIATE, AMINOMETHYL PROPANOL, AMODIMETHICONE, GLYCINE SOJA (SOYBEAN) SEED EXTRACT, PPG-2-DECETH-12, SODIUM A..",https://www.sociolla.com/conditioner/90594-premium-moist-and-repair-treatment-twinpack-new,3/2/2026
P224,So So So Smooth Conditioner,LAVOJOY,Conditioner,300ml,Rp71.900 Rp66.867,"Water, Cetearyl Alcohol, Glycerin, Dimethicone, Behentrimonium Chloride, Bis-Aminopropyl Dimethicone, Phenoxyethanol, Isopropyl Alcohol, Aroma, Chlorphenesin, Hydroxyethylcellulose, Dimethiconol, Acrylamidopropyltrimonium Chloride / Acrylamide Copolymer, Disodium EDTA, Citric Acid, Limnanthes Alba (Meadowfoam) Seed Oil, Simsmondsia Chinensis (Jojoba) Seed Oil, Squalane, Olea Europaea (Olive) Fruit Oil, Polysorbate 60, Disodium Phosphate, Sodium Hyaluronate, Sodium Phosphate.",https://www.sociolla.com/conditioner/82866-so-so-so-smooth-conditioner,3/2/2026
P225,Keratin Protein Repair Conditioner,BEAMARRY NEW YORK,Conditioner,380ml,Rp227.184 Rp147.670,"AQUA, CETEARYL ALCOHOL, ETHYLHEXYL PALMITATE, STEARTRIMONIUM CHLORIDE, DIMETHICONE, GLYCERYL STEARATE, HYDROXYETHYLCELLULOSE, DMDM HYDANTOIN, PARFUM, GLYCERIN, PROPYLENE GLYCOL PHENOXYETHANOL PANTHENOL MACADAMIA TERNIFOLIA SEED OIL, ARGANIA SPINOSA KERNEL OIL, CI 19140, KERATIN, HYDROLYZED KERATIN, OXIDIZED KERATIN, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL, ROSA RUGOSA FLOWER EXTRACT, ROSA RUGOSA FLOWER OIL, MICHELIA ALBA FLOWER OIL CYMBIDIUM GRANDIFLORUM (ORCHID) ROOT EXTRACT, CI 75470, ROSA CENTIFOLIA FLOWER EXTRACT. JASMINUM OFFICINALE (JASMINE) EXTRACT, BELLIS PERENNIS (DAISY) FLOWER EXTRACT, XANTHAN GUM",https://www.sociolla.com/conditioner/85225-keratin-protein-repair-conditioner,3/2/2026
P226,Ultimate Repair Leave-in Cream,BEAMARRY NEW YORK,Conditioner,220 ml,Rp278.784 Rp181.210,"AQUA, DIMETHICONE, MINERAL OIL, CYCLO PENTASILOXANE, DIMETHICONOL, GLYCERIN, POLYACRYLAMIDE, CYCLOHEXASILOXANE, PHENOXYETHANOL, HYDROXYETHYLCELLULOSE, DMDM HYNDANTON, C13-14 ISOPARAFFIN, PARFUM, OLEA EUROPAEA (OLIVE) FRUIT OIL, PEG-14M, PANTHENOL, LAURETH-7, ARGANIA SPINOSA KERNEL OIL, KERATIN, HYDROLYZED KERATIN, OXIDIZED KERATIN, PRUNUS AMYGDALUSDULCIS (SWEET ALMOND) OIL, SIMMONDSIA CHINESIS (JOJOBA) SEED OIL, BUTYROSPERMUM PARKIL (SHEA BUTTER), COCOS NUCIFERA (COCONUT) OIL, HEALIANTHUS ANNUUS (SUNFLOWER) SEED OIL",https://www.sociolla.com/conditioner/85246-ultimate-repair-leave-in-cream,3/2/2026
